projection_date,projected_months,mean,std,median,mean-1std,mean+1std,projected_date,actual_rate,actual_rate_direction,classification,mean_v_median,median_accuracy
2017-04-01,6,5.788461538461538,0.28984150352561955,5.75,5.498620034935919,6.078303041987158,2017-10-01,5.25,Neutral,Below Mean - 1 std,0.038461538461538325,0
2017-05-01,6,5.577777777777778,0.2489878500950388,5.5,5.32878992768274,5.826765627872817,2017-11-01,5.0,Decreasing,Below Mean - 1 std,0.07777777777777839,0
2017-06-01,6,5.459302325581396,0.20361489501176822,5.5,5.255687430569628,5.6629172205931635,2017-12-01,4.75,Decreasing,Below Mean - 1 std,0.04069767441860428,0
2017-07-01,6,5.103658536585367,0.23032320874763115,5.0,4.873335327837736,5.333981745332998,2018-01-01,4.75,Neutral,Below Mean - 1 std,0.10365853658536661,0
2017-08-01,6,4.947674418604651,0.23501608059776435,5.0,4.712658338006886,5.182690499202415,2018-02-01,4.5,Decreasing,Below Mean - 1 std,0.052325581395349374,0
2017-09-01,6,4.738095238095238,0.2205341419863358,4.75,4.517561096108903,4.9586293800815735,2018-03-01,4.5,Neutral,Below Mean - 1 std,0.011904761904761862,0
2017-10-01,6,4.670454545454546,0.2628816565066789,4.75,4.407572888947867,4.933336201961224,2018-04-01,4.5,Neutral,Within 1 std,0.07954545454545414,0
2017-11-01,6,4.392857142857142,0.22184685680568958,4.5,4.171010286051453,4.614703999662832,2018-05-01,4.25,Decreasing,Within 1 std,0.10714285714285765,0
2017-12-01,6,4.196428571428571,0.23772110558764364,4.25,3.9587074658409276,4.434149677016215,2018-06-01,4.25,Neutral,Within 1 std,0.053571428571428825,1
2018-01-01,6,4.182926829268293,0.21668230087433338,4.25,3.96624452839396,4.399609130142626,2018-07-01,4.25,Neutral,Within 1 std,0.06707317073170671,1
2018-02-28,6,4.225609756097561,0.1658771952452748,4.25,4.059732560852286,4.391486951342836,2018-08-28,4.25,Neutral,Within 1 std,0.024390243902439046,1
2018-03-31,6,4.1875,0.18562092609705416,4.25,4.001879073902946,4.373120926097054,2018-09-30,4.25,Neutral,Within 1 std,0.0625,1
2018-04-30,6,4.130952380952381,0.15848073705842955,4.25,3.972471643893952,4.289433118010811,2018-10-30,4.25,Neutral,Within 1 std,0.11904761904761862,1
2018-05-31,6,4.151162790697675,0.14576904927096132,4.25,4.005393741426714,4.296931839968636,2018-11-30,4.25,Neutral,Within 1 std,0.09883720930232531,1
2018-06-30,6,4.213414634146342,0.13182582744093746,4.25,4.081588806705405,4.345240461587279,2018-12-30,4.25,Neutral,Within 1 std,0.036585365853658125,1
2018-07-31,6,4.2976190476190474,0.13790787882848898,4.25,4.159711168790558,4.435526926447537,2019-01-31,4.25,Neutral,Within 1 std,0.04761904761904745,1
2018-08-31,6,4.25609756097561,0.11842461840302604,4.25,4.137672942572585,4.374522179378636,2019-02-28,4.25,Neutral,Within 1 std,0.006097560975610428,1
2018-09-30,6,4.365853658536586,0.17763692760453964,4.25,4.188216730932046,4.543490586141125,2019-03-30,4.25,Neutral,Within 1 std,0.11585365853658569,1
2018-10-31,6,4.473684210526316,0.22352726482989244,4.5,4.250156945696424,4.697211475356208,2019-04-30,4.25,Neutral,Below Mean - 1 std,0.02631578947368407,0
2018-11-30,6,4.54375,0.264862688179637,4.5,4.278887311820363,4.808612688179637,2019-05-30,4.25,Neutral,Below Mean - 1 std,0.04375000000000018,0
